,Time,Blink count,Pixel Similarity,Emotion,Looking at,Noise level,Average attention
0,5,0.738095238095238,0.7206198914522717,0.05714285714285715,0.8941176470588235,0.24970883963722523,0.5319368946772832
1,10,0.023809523809523725,0.827673348615288,0.25806451612903225,0.2928571428571428,0.3260410492695137,0.3456891161361001
2,15,0.738095238095238,0.7428635166965695,0.8000000000000003,0.10000000000000003,0.26158075326135,0.5285079016106317
3,20,0.738095238095238,0.7439128034965394,0.8000000000000003,0.14285714285714288,0.28824936502215104,0.5426229098942144
4,25,0.9761904761904762,0.7354108929115226,0.4444444444444446,0.19000000000000003,0.2749861249408838,0.5242063876974654
5,30,0.738095238095238,0.7079875278756236,0.8000000000000002,0.19473684210526318,0.24274003112509834,0.5367119278402447
6,35,0.738095238095238,0.7342369256967715,0.8000000000000002,0.15000000000000002,0.39403776797091006,0.563273986352584
7,40,0.738095238095238,0.8160694257996338,0.8095238095238096,0.10000000000000002,0.5178306082052315,0.5963038163247826
8,45,0.9761904761904762,0.8003559430974714,0.8090909090909093,0.10000000000000002,0.21577952615759244,0.5802833709072899
9,50,0.023809523809523725,0.8369795997762096,0.8000000000000002,0.15294117647058825,0.335671043198154,0.4298802686508952
10,55,0.9761904761904762,0.8039545585623523,0.8000000000000003,0.10000000000000002,0.0722979037189625,0.5504885876943583
11,60,0.9761904761904762,0.696135680832205,0.8315789473684212,0.38421052631578945,0.04372026145789176,0.5863671784329568
12,65,0.738095238095238,0.6335657879532849,0.8000000000000003,0.505,0.0007997572687461485,0.535492156663454
13,70,0.9761904761904762,0.8462222429402052,0.8000000000000003,0.1473684210526316,0.21697454709959219,0.5973511374565811
14,75,0.4999999999999999,0.7298495379887725,0.8000000000000002,0.1,0.6482592918072164,0.5556217659591979
15,80,0.9761904761904762,0.6774065670429416,0.8000000000000002,0.10000000000000002,0.39343055335335886,0.5894055193173553
16,85,0.738095238095238,0.7480845877691313,0.8000000000000002,0.10000000000000002,0.13650775995255782,0.5045375171633856
17,90,0.4999999999999999,0.8093524036056273,0.8000000000000002,0.10000000000000002,0.3697731797921898,0.5158251166795634
18,95,0.9761904761904762,0.7080601733847568,0.8000000000000002,0.10000000000000002,0.5293712362557288,0.6227243771661924
19,100,0.738095238095238,0.6434108828959972,0.7600000000000001,0.38421052631578945,0.2908278593131388,0.5633089013240328
20,105,0.9761904761904762,0.7327299284289838,0.7619047619047621,0.55,0.37864918532267866,0.6798948703693801
21,110,0.9761904761904762,0.7883150047228844,0.8000000000000003,0.595,0.06386812909577455,0.6446747220018271
22,115,0.9761904761904762,0.8863478815667819,0.8000000000000002,0.8999999999999999,0.11942500660315547,0.7363926728720827
23,120,0.738095238095238,0.8989352478857029,0.8000000000000003,1.0,0.11168195734404318,0.7097424886649969
24,125,0.738095238095238,0.8237138794312707,0.5846153846153848,1.0,0.1786462425971893,0.6650141489478165
25,130,0.9761904761904762,0.8662647388138103,0.6666666666666666,0.94375,0.8937541594121337,0.8693252082166174
26,135,0.9761904761904762,0.843463239705888,0.8000000000000003,0.9470588235294118,0.9821364932186236,0.9097698065288801
27,140,0.738095238095238,0.6113075084865539,0.7333333333333334,0.7,0.8021113383556177,0.7169694836541487
28,145,0.4999999999999999,0.6924349795547019,0.5714285714285716,0.5153846153846154,0.8007623835027686,0.6160021099741315
29,150,0.9761904761904762,0.6942158018114938,0.35200000000000004,0.27999999999999997,0.6302679374881988,0.5865348430980337
30,155,0.9761904761904762,0.7246379898760085,0.13333333333333333,0.325,0.40286114417248076,0.5124045887144597
31,160,0.9761904761904762,0.6912268698459296,0.6956521739130437,0.8999999999999999,0.4564589632759999,0.7439056966450899
32,165,0.9761904761904762,0.76098821099516,0.8090909090909093,0.2421052631578947,0.4059462074311182,0.6388642133731116
33,170,0.9761904761904762,0.8104682098891968,0.8000000000000003,0.3647058823529412,0.5096531792234609,0.6922035495312152
34,175,0.9761904761904762,0.8043004013791824,0.8000000000000003,0.6499999999999999,0.29022636829340953,0.7041434491726137
35,180,0.9761904761904762,0.8037054451579245,0.8000000000000003,0.8411764705882353,0.2657506896139731,0.7373646163101218
36,185,0.9761904761904762,0.7969190533082446,0.8095238095238096,0.94,0.30627168888344536,0.7657810055811952
37,190,0.9761904761904762,0.854275176744501,0.8000000000000002,0.9500000000000001,0.37442322841769793,0.7909777762705351
38,195,0.738095238095238,0.8091777681902773,0.8000000000000002,0.807142857142857,0.3316299654053443,0.6972091657667434
39,200,0.9761904761904762,0.8122374129847683,0.8000000000000003,0.47058823529411764,0.3497568246371523,0.681754589821303
40,205,0.9761904761904762,0.900455574330817,0.8000000000000002,0.15000000000000002,0.3147442996355171,0.628278070031362
